benchmark,family,method,wns,tns,violations,composite_score,runtime_s,simulated
simple_design,synthetic,baseline,-1.7543,-24.7899,27,0.8182205384615384,0.003,False
simple_design,synthetic,random_search,-0.9464,-3.3212,8,0.3339159452648133,1.125,False
simple_design,synthetic,choa,-1.8186,-6.1171,6,0.441239,0.747,False
simple_design,synthetic,choa_memory,-1.6045,-4.687,5,0.441239,0.738,False
synth_small,synthetic,baseline,-1.4855,-15.382,17,0.6278459259259259,0.001,False
synth_small,synthetic,random_search,-0.9978,-1.5352,3,0.29518114602024403,0.771,False
synth_small,synthetic,choa,-0.943,-5.5918,11,0.2103837740538375,0.644,False
synth_small,synthetic,choa_memory,-0.7022,-1.1106,6,0.2103837740538375,0.82,False
synth_medium,synthetic,baseline,-1.7112,-23.3378,25,0.7934751428571428,0.001,False
synth_medium,synthetic,random_search,-1.0539,-3.28,8,0.3670595970239351,0.869,False
synth_medium,synthetic,choa,-1.3464,-14.3024,20,0.39123544072050415,0.649,False
synth_medium,synthetic,choa_memory,-1.0102,-3.1872,9,0.39123544072050415,0.829,False
synth_large,synthetic,baseline,-1.7975,-22.8208,26,0.8232837575757576,0.001,False
synth_large,synthetic,random_search,-1.2799,-1.3183,5,0.39606529391696654,0.806,False
synth_large,synthetic,choa,-2.5525,-6.626,6,0.517848,0.815,False
synth_large,synthetic,choa_memory,-2.4024,-9.0175,7,0.517848,0.824,False
synth_tight,synthetic,baseline,-1.4715,-7.3666,18,0.5380950322580645,0.001,False
synth_tight,synthetic,random_search,-1.0186,-1.3652,4,0.30405991851834635,0.814,False
synth_tight,synthetic,choa,-1.3629,-4.7471,6,0.36216000000000004,0.654,False
synth_tight,synthetic,choa_memory,-1.3538,-5.8416,9,0.36216000000000004,0.72,False
